Entity,Code,Year,living_planet_index_average,living_planet_index_upper,living_planet_index_lower
Africa,,1970,100,100,100
Africa,,1971,95.4619689,104.91080310000001,87.7905669
Africa,,1972,94.6834134,110.86783929999999,81.47983880000001
Africa,,1973,99.18117360000001,120.8707213,81.908753
Africa,,1974,99.384934,127.87777950000002,77.1446096
Africa,,1975,96.6180782,132.4486311,69.761962
Africa,,1976,92.4301969,134.8479638,61.837048800000005
Africa,,1977,87.2671198,131.951995,56.3436072
Africa,,1978,80.73154070000001,125.72732529999999,50.860652200000004
Africa,,1979,76.9254314,125.75389589999999,46.266408999999996
Africa,,1980,76.9081876,132.8204823,43.8800042
Africa,,1981,79.57674139999999,142.6150695,43.6448033
Africa,,1982,76.4077794,139.8253089,41.0753522
Africa,,1983,73.1503259,134.313978,39.0570959
Africa,,1984,68.4761215,126.0813991,36.338758399999996
Africa,,1985,63.7356956,117.93069839999998,33.6530432
Africa,,1986,59.7940078,111.44868029999999,31.480373099999998
Africa,,1987,57.3022634,107.70771990000001,30.151214500000002
Africa,,1988,56.041718900000006,105.84155630000001,29.4651004
Africa,,1989,55.16369209999999,104.72860260000002,28.9561275
Africa,,1990,53.5341213,102.0471154,27.992062299999997
Africa,,1991,52.495760700000005,100.4773682,27.323914799999997
Africa,,1992,52.553061400000004,101.0381931,27.247414199999998
Africa,,1993,52.87971769999999,102.2262265,27.2298129
Africa,,1994,53.7990254,104.6411241,27.489396
Africa,,1995,53.2089821,104.13283,27.013077600000003
Africa,,1996,53.313998399999996,104.8317159,26.9979873
Africa,,1997,52.35894760000001,103.3454929,26.479854600000003
Africa,,1998,51.4812834,101.866499,26.052165799999997
Africa,,1999,50.73549630000001,100.5380784,25.6536467
Africa,,2000,49.8478206,99.0628086,25.194832299999998
Africa,,2001,47.7969422,95.5173003,24.0470567
Africa,,2002,45.4182948,91.4103573,22.772600100000002
Africa,,2003,43.467074700000005,88.0793043,21.5846269
Africa,,2004,43.0759027,88.143674,21.047456
Africa,,2005,42.3475095,87.5202311,20.3524912
Africa,,2006,41.7608907,87.05808710000001,19.843455300000002
Africa,,2007,41.7640316,87.3575831,19.8294506
Africa,,2008,42.106512200000004,88.0000107,19.957817
Africa,,2009,42.209775,88.48471,19.9609472
Africa,,2010,41.1133919,86.3889326,19.3916553
Africa,,2011,39.3256355,83.0753708,18.4961851
Africa,,2012,36.9574054,78.1068995,17.359079
Africa,,2013,34.5145394,73.0016921,16.1848117
Africa,,2014,32.4928695,68.6286358,15.238575200000001
Africa,,2015,31.293572800000003,66.2561521,14.669147099999998
Africa,,2016,32.054221500000004,68.0268934,14.9688821
Africa,,2017,34.4458751,73.43357999999999,15.991854
Asia and Pacific,,1970,100,100,100
Asia and Pacific,,1971,103.7109657,109.7304737,98.47158470000001
Asia and Pacific,,1972,104.83866859999999,114.4042346,96.1006915
Asia and Pacific,,1973,104.1134016,114.8096754,93.620443
Asia and Pacific,,1974,104.9811427,116.5759634,93.8732991
Asia and Pacific,,1975,105.9803663,118.4052305,94.3320861
Asia and Pacific,,1976,106.0154597,119.127385,93.9715527
Asia and Pacific,,1977,104.1612733,117.26179699999999,92.1532313
Asia and Pacific,,1978,102.561853,115.7286946,90.4999924
Asia and Pacific,,1979,101.4466364,114.7537338,89.247058
Asia and Pacific,,1980,100.6715203,114.1953561,88.3268142
Asia and Pacific,,1981,99.02615259999999,112.6576649,86.6304
Asia and Pacific,,1982,96.7173069,110.36655040000001,84.3433102
Asia and Pacific,,1983,93.7090272,107.2534865,81.4814909
Asia and Pacific,,1984,92.2515952,106.7065431,79.4789481
Asia and Pacific,,1985,92.45853550000001,108.6619537,78.4923531
Asia and Pacific,,1986,94.2524124,113.6544225,78.2645522
Asia and Pacific,,1987,94.7575872,116.5778076,77.4200407
